Burnt Area (ha) ,Portugal,Spain,France,Italy,Greece,Algeria,Austria,Bulgaria,Croatia,Cyprus,Czech Rep.,Estonia,Finland,FYROM,Germany,Hungary,Latvia,Lithuania,Morocco,Norway,Poland,Romania,Slovakia,Slovenia,Sweden,Switzerland,Turkey
1980,44251,263017,22176,143919,32965,,,,,,,,,,,,37,,,,,,,,,662,
1981,89798,298288,27711,229850,81417,,,,,,,,,,,,80,,,,,,,,,2186,
1982,39556,152903,55145,130456,27372,,,,,,,,,,,,46,,,,,,,,,303,
1983,47811,108100,53729,212678,19613,,,,,,,,,,,,125,,,,,,,,,548,
1984,52710,165119,27202,75272,33655,,,,,,,,,,,,147,,,,,,,,,409,
1985,146254,484476,57368,190640,105450,,,,,,,,,,,,43,,,,,,,,,299,
1986,89522,264887,51860,86420,24514,,,,,,,,,,,,84,,,,,261,,,,86,
1987,76269,146662,14108,120697,46315,,,,,,,,,,,,47,,,,,110,,,,475,
1988,22434,137734,6701,186405,110501,,,,,,,,,,,,146,,,,,15,,,,125,
1989,126237,426693,75566,95161,42363,,,,,,,,,,,,58,,,,,93,,,,546,
1990,137252,203032,72625,195319,38594,,,,,,,,,,,,258,,2118,,7341,444,,,,1711,13742
1991,182486,260318,10130,99860,13046,,,511,,,,,,,920,,69,,3965,,2567,277,,,,96,8081
1992,57011,105277,16593,105692,71410,,,5243,11131,,,,,,4908,,8412,769,2579,,43755,729,,,,64,12232
1993,49963,89267,16698,203749,54049,,,18164,20157,,,,,,1493,,570,274,3078,,8290,518,,,,37,15393
1994,77323,437635,24995,136334,57908,,,18100,7936,,,,,,1114,,326,279,6072,,9325,312,,,,408,30828
1995,169612,143484,18137,48884,27202,,,550,4651,,403,,,,592,,535,321,7018,,5403,208,,,,446,7676
1996,88867,59814,11400,57988,25310,,,906,11214,,2043,,433,,1381,,927,478,1185,,14537,227,,,1588,292,14922
1997,30535,98503,21581,111230,52373,,,595,11122,,359,,1146,,599,,448,226,3845,,6766,68,,,5873,1872,6317
1998,158369,133643,19282,155553,92901,,,6967,32056,,1132,,131,,397,,211,93,1855,,4222,137,,,422,274,6764
1999,70613,82217,15906,71117,8289,,,8291,6053,,336,,609,,415,756,1544,494,1688,,8629,379,557,,1771,30,5804
2000,159605,188586,24078,114648,145033,,,57406,68171,8034,375,684,266,,581,1595,1341,352,4064,,7089,3607,904,,1552,70,26353
2001,111850,93297,20642,76427,18221,,,20152,16169,4830,87,62,187,,122,,311,113,1806,895,3466,1001,305,,1254,21,7394
2002,124411,107464,30160,40791,6013,,,6513,4853,2196,178,2082,590,,122,1227,2222,746,593,221,5210,3536,595,161,2626,719,8514
2003,425726,148172,73278,91805,3517,,,5000,27091,2349,1236,207,666,,1315,845,559,436,2858,942,21551,762,1567,2100,4002,673,6644
2004,129539,134193,13711,60176,10267,,,1137,3378,1218,335,379,358,,274,247,486,253,8660,117,3782,124,157,138,1883,31,4876
2005,338262,188697,22135,47575,6437,,74,1456,3135,1838,227,87,495,,183,3531,120,51,6198,346,5713,162,524,280,1562,43,2821
2006,75510,155345,7964,39946,12661,,75,3540,4575,1160,53,3096,1617,,482,625,3387,1199,5360,3829,5657,946,280,1420,5710,117,7762
2007,31450,86122,8573,227729,225734,,48,42999,20209,4483,,292,576,32665,256,4636,272,38,1367,128,2841,2529,679,128,1090,322,11664
2008,17244,50322,6046,66329,29152,,,5289,7343,2392,,1280,830,5915,539,2404,364,112,1127,3174,3027,373,118,75.38,6113,67,29749
2009,87416,120094,17036,73355,35342,,22,2271,2900,885,,59,576,1307,262,6463,646,287,3108,1329,4400,974,510,177,1537,51,4679
2010,133090,54770,11318,46537,8967,,37,6526,1121,2000,,25,520,737,522,878,92.2,22,5511,769,2126,206,192,121,540,27,3317
2011,73813,102161,11768,72004,29144,13593,78,6883,15555,1599,,19,580,17308,214,8055,115,293,3460,121,2678,2195,403,288.1,945,225,3612
2012,110231,226125,8333,130814,59924,99061,69,12730,24804,2531,,3,87,10021,269,13978,90,20,6695,60,7235,6624,1683,1006,483,30,10455
2013,152756,58985,3608,29076,46676,13396,165,3313.9,1999,2835,,79,461,3027,199,1955,217,25,2207,47,1289,421,270,66,1508,29,11456
2014,19929,46721,7493,36125,25846,43125,192,916,188,669,,78,881,846,120,4454,591,162,1540,770,2690,217,192,18,14666,46,3117
2015,64443,103200,11160,41511,7095.75,13010,268,4313,9416,652,,83,143,1798,526,4730,615,71,992,143,5510,1671,353,65,594,45,3219
2016,161522,65817,16093,47926,26539.5,18370,398,6340,7100,3205,,123,310,450,283,974,467,26,2585,1884,1451,675,175,526,1288,463,9156
