Number of fires,Portugal,Spain,France,Italy,Greece,Algeria,Austria,Bulgaria,Croatia,Cyprus,Czech Rep.,Estonia,Finland,FYROM,Germany,Hungary,Latvia,Lithuania,Morocco,Norway,Poland,Romania,Slovakia,Slovenia,Sweden,Switzerland,Turkey
1980,2349,7190,5040,11963,1207,,,,,,,,,,,,207,,,,,,,,,86,
1981,6730,10878,5173,14503,1159,,,,,,,,,,,,293,,,,,,,,,152,
1982,3626,6545,5308,9557,1045,,,,,,,,,,,,436,,,,,,,,,85,
1983,4539,4791,4659,7956,968,,,,,,,,,,,,617,,,,,,,,,118,
1984,7356,7203,5672,8482,1284,,,,,,,,,,,,416,,,,,,,,,183,
1985,8441,12238,6249,18664,1442,,,,,,,,,,,,228,,,,,,,,,113,
1986,5036,7570,4353,9398,1082,,,,,,,,,,,,425,,,,,87,,,,87,
1987,7705,8679,3043,11972,1266,,,,,,,,,,,,173,,,,,60,,,,121,
1988,6131,9247,2837,13588,1898,,,,,,,,,,,,436,,,,,18,,,,78,
1989,21896,20811,6763,9669,1284,,,,,,,,,,,,331,,,,,43,,,,189,
1990,10745,12913,5881,14477,1322,,,,,,,,,,,,604,,179,,5756,131,,,,252,1750
1991,14327,13531,3888,11965,858,,,73,,,,,,,1846,,225,,247,,3528,42,,,,151,1481
1992,14954,15955,4002,14641,2582,,,602,325,,,,,,3012,,1510,1180,182,,11858,187,,,,84,2117
1993,16101,14254,4769,14412,2406,,,1196,372,,,,,,1694,,965,634,187,,8821,159,,,,83,2545
1994,19983,19263,4618,11588,1763,,,667,181,,,,,,1696,,763,715,417,,10705,121,366,,,86,3239
1995,34116,25827,6563,7378,1438,,,114,109,,1331,,,,1237,,582,472,528,,7678,62,254,,,96,1770
1996,28626,16771,6401,9093,1508,,,246,305,,1421,,1475,,1748,,1095,894,220,,7923,72,662,,4854,128,1645
1997,23497,22320,8005,11612,2273,,,200,305,,1398,,1585,,1467,,768,565,391,,6817,37,535,,7057,180,1339
1998,34676,22446,6289,9540,1842,,,578,441,,2563,,370,,1032,,357,258,416,,6165,59,1056,,2503,121,1932
1999,25477,18237,4960,6932,1486,,,320,223,,1402,,1528,,1178,229,1196,1022,385,,9820,138,426,,4707,50,2075
2000,34109,24118,4603,8595,2581,,,1710,706,285,1499,158,826,,1210,811,915,654,321,,12426,688,824,,4708,69,2353
2001,26533,19547,4309,7134,2535,,,825,299,299,483,91,822,,587,419,272,287,327,117,4480,268,311,,4831,67,2631
2002,26488,19929,4097,4601,1141,,,402,176,243,604,356,2546,,513,382,1720,1596,202,213,10101,516,570,60,6490,118,1471
2003,26195,18616,7023,9697,1452,,,452,532,427,1754,111,1734,,2524,375,900,885,392,198,17087,203,872,224,8282,301,2177
2004,21870,21396,3775,6428,1748,,,294,204,221,873,89,816,,626,104,647,468,714,119,7006,34,153,51,4955,74,1762
2005,35697,25492,4698,7951,1544,,954,241,147,185,619,65,1069,,496,150,365,301,662,122,12049,64,287,73,4573,88,1530
2006,19929,16354,4615,5634,1417,,912,393,181,172,697,250,3046,,930,97,1929,1545,381,205,11541,105,237,112,4618,80,2227
2007,18722,10936,3367,10639,1983,,750,1479,345,111,,64,1204,652,779,603,425,251,340,65,8302,478,463,140,3737,83,2829
2008,13832,11655,2809,6486,1481,,,582,275,114,,71,1456,573,818,502,700,301,273,171,9090,91,182,74,5420,56,2135
2009,26119,15643,4888,5422,1063,,218,314,181,91,,47,1242,80,763,608,823,471,501,109,9162,190,347,120,4180,88,1793
2010,22026,11721,3862,4884,1052,,192,222,131,133,,30,1412,99,780,109,316,104,629,62,4680,70,127,32,3120,78,1861
2011,25221,16414,4290,8181,1613,2487,356,635,280,85,,24,1215,523,888,2021,360,142,606,49,8172,340,303,114,3534,107,1954
2012,21176,17503,3927,8252,1559,5110,312,876,569,78,,5,417,483,701,2657,162,81,484,24,9265,911,513,168,2213,74,2450
2013,19291,10626,2223,2936,862,2443,357,408,137,135,,15,1452,186,515,761,422,123,411,42,4883,116,233,75,4878,58,3755
2014,7067,9771,2778,3257,552,4629,369,151,43,68,,91,1660,62,429,1042,698,155,460,133,5245,83,153,35,4374,59,2149
2015,15851,11928,4440,5442,510,2383,345,429,177,87,,67,745,106,1071,1069,704,247,425,29,12257,250,242,93,2700,162,2150
2016,13261,8817,4285,4793,777,3150,317,584,151,119,,84,933,60,608,452,641,98,422,345,5286,174,136,90,5454,63,3188
